Time	Humidity (%)	Temperature (C)
13:14:50	17.0	3.0
13:14:51	17.0	3.0
13:14:52	17.0	3.0
13:14:53	17.0	3.0
13:14:54	17.0	3.0
13:14:55	17.0	3.0
13:14:57	17.0	3.0
13:14:58	17.0	3.0
13:14:59	17.0	3.0
13:15:00	17.0	3.0
13:15:01	17.0	3.0
13:15:02	17.0	4.0
13:15:03	17.0	4.0
13:15:04	17.0	4.0
13:15:05	17.0	4.0
13:15:06	17.0	4.0
13:15:07	17.0	4.0
13:15:08	17.0	4.0
13:15:09	17.0	4.0
13:15:10	17.0	4.0
13:15:11	17.0	4.0
13:15:12	17.0	4.0
13:15:13	17.0	4.0
13:15:14	17.0	4.0
13:15:15	17.0	4.0
13:15:16	17.0	4.0
13:15:17	17.0	4.0
13:15:19	17.0	4.0
13:15:20	17.0	4.0
13:15:21	17.0	4.0
13:15:22	17.0	4.0
13:15:23	17.0	4.0
13:15:24	17.0	4.0
13:15:25	17.0	4.0
13:15:26	17.0	5.0
13:15:27	17.0	5.0
13:15:28	17.0	5.0
13:15:29	17.0	5.0
13:15:30	17.0	5.0
13:15:31	17.0	5.0
13:15:32	17.0	5.0
13:15:33	17.0	5.0
13:15:34	17.0	5.0
13:15:35	17.0	5.0
13:15:36	17.0	5.0
13:15:37	17.0	5.0
13:15:38	17.0	5.0
13:15:39	17.0	5.0
13:15:41	17.0	5.0
13:15:42	17.0	5.0
13:15:43	17.0	5.0
13:15:44	17.0	5.0
13:15:45	17.0	5.0
13:15:46	17.0	5.0
13:15:47	17.0	5.0
13:15:48	17.0	5.0
13:15:49	17.0	6.0
13:15:50	17.0	6.0
13:15:51	17.0	6.0
13:15:52	17.0	6.0
13:15:53	17.0	6.0
13:15:54	17.0	6.0
13:15:55	17.0	6.0
13:15:56	17.0	6.0
13:15:57	17.0	6.0
13:15:58	17.0	6.0
13:15:59	17.0	6.0
13:16:00	17.0	6.0
13:16:01	17.0	6.0
13:16:03	17.0	6.0
13:16:04	17.0	6.0
13:16:05	17.0	6.0
13:16:06	17.0	6.0
13:16:07	17.0	6.0
13:16:08	17.0	6.0
13:16:09	17.0	6.0
13:16:10	17.0	6.0
13:16:11	17.0	6.0
13:16:12	17.0	7.0
13:16:13	17.0	7.0
13:16:14	17.0	7.0
13:16:15	17.0	7.0
13:16:16	17.0	7.0
13:16:17	17.0	7.0
13:16:18	17.0	7.0
13:16:19	17.0	7.0
13:16:20	17.0	7.0
13:16:21	17.0	7.0
13:16:22	17.0	7.0
13:16:23	17.0	7.0
13:16:25	17.0	7.0
13:16:26	17.0	7.0
13:16:27	17.0	7.0
13:16:28	17.0	7.0
13:16:29	17.0	7.0
13:16:30	17.0	7.0
13:16:31	17.0	7.0
13:16:32	17.0	7.0
13:16:33	17.0	7.0
13:16:34	17.0	7.0
13:16:35	17.0	8.0
13:16:36	17.0	8.0
13:16:37	17.0	8.0
13:16:38	17.0	8.0
13:16:39	17.0	8.0
13:16:40	17.0	8.0
13:16:41	17.0	8.0
13:16:42	17.0	8.0
13:16:43	17.0	8.0
13:16:44	17.0	8.0
13:16:45	17.0	8.0
13:16:46	17.0	8.0
13:16:48	17.0	8.0
13:16:49	17.0	8.0
13:16:50	17.0	8.0
13:16:51	17.0	8.0
13:16:52	17.0	8.0
13:16:53	17.0	8.0
13:16:54	17.0	8.0
13:16:55	17.0	8.0
13:16:56	17.0	8.0
13:16:57	17.0	8.0
13:16:58	17.0	8.0
13:16:59	17.0	9.0
13:17:00	17.0	9.0
13:17:01	17.0	9.0
13:17:02	17.0	9.0
13:17:03	17.0	9.0
13:17:04	17.0	9.0
13:17:05	17.0	9.0
13:17:06	17.0	9.0
13:17:07	17.0	9.0
13:17:08	17.0	9.0
13:17:10	17.0	9.0
13:17:11	17.0	9.0
13:17:12	17.0	9.0
13:17:13	17.0	9.0
13:17:14	18.0	9.0
13:17:15	17.0	9.0
13:17:16	18.0	9.0
13:17:17	18.0	9.0
13:17:18	18.0	9.0
13:17:19	18.0	9.0
13:17:20	18.0	9.0
13:17:21	18.0	9.0
13:17:22	18.0	10.0
13:17:23	18.0	10.0
13:17:24	18.0	10.0
13:17:25	18.0	10.0
13:17:26	18.0	10.0
13:17:27	18.0	10.0
13:17:28	18.0	10.0
13:17:29	18.0	10.0
13:17:30	18.0	10.0
13:17:32	18.0	10.0
13:17:33	18.0	10.0
13:17:34	18.0	10.0
13:17:35	18.0	10.0
13:17:36	18.0	10.0
13:17:37	18.0	10.0
13:17:38	18.0	10.0
13:17:39	18.0	10.0
13:17:40	18.0	10.0
13:17:41	18.0	10.0
13:17:42	18.0	10.0
13:17:43	18.0	10.0
13:17:44	18.0	10.0
13:17:45	18.0	10.0
13:17:46	18.0	11.0
13:17:47	18.0	11.0
13:17:48	18.0	11.0
13:17:49	18.0	11.0
13:17:50	18.0	11.0
13:17:51	18.0	11.0
13:17:52	18.0	11.0
13:17:54	18.0	11.0
13:17:55	18.0	11.0
13:17:56	18.0	11.0
13:17:57	18.0	11.0
13:17:58	18.0	11.0
13:17:59	18.0	11.0
13:18:00	18.0	11.0
13:18:01	18.0	11.0
13:18:02	18.0	11.0
13:18:03	18.0	11.0
13:18:04	18.0	11.0
13:18:05	18.0	11.0
13:18:06	18.0	11.0
13:18:07	18.0	11.0
13:18:08	18.0	11.0
13:18:09	18.0	11.0
13:18:10	18.0	12.0
13:18:11	18.0	12.0
13:18:12	18.0	12.0
13:18:13	18.0	12.0
13:18:14	18.0	12.0
13:18:16	18.0	12.0
13:18:17	18.0	12.0
13:18:18	18.0	12.0
13:18:19	18.0	12.0
13:18:20	18.0	12.0
13:18:21	18.0	12.0
13:18:22	18.0	12.0
13:18:23	18.0	12.0
13:18:24	18.0	12.0
13:18:25	18.0	12.0
13:18:26	18.0	12.0
13:18:27	18.0	12.0
13:18:28	18.0	12.0
13:18:29	18.0	12.0
13:18:30	18.0	12.0
13:18:31	18.0	12.0
13:18:32	18.0	12.0
13:18:33	18.0	12.0
13:18:34	18.0	13.0
13:18:35	18.0	13.0
13:18:36	18.0	13.0
13:18:37	18.0	13.0
13:18:39	18.0	13.0
